text|target_emotion|intensity|admiration|amusement|anger|annoyance|approval|caring|confusion|curiosity|desire|disappointment|disapproval|disgust|embarrassment|excitement|fear|gratitude|grief|joy|love|nervousness|optimism|pride|realization|relief|remorse|sadness|surprise|neutral|sadness|joy|love|anger|fear|surprise|
When I could not remember what to say about a presentation task at an accounts meeting.|6|2|0.0022|0.00442|0.00222|0.00772|0.00949|0.00147|0.19966|0.05548|0.00333|0.00824|0.00969|0.00147|0.00172|0.00687|0.00157|0.00085|0.00087|0.0026|0.00121|0.00187|0.00684|0.00118|0.0523|0.00171|0.0019|0.00419|0.01881|0.69053|0.00895|0.15286|0.00359|0.27089|0.51826|0.02014|
When my uncle and my neighbour came home under police escort.|7|2|0.00449|0.00203|0.00299|0.00666|0.0116|0.00453|0.00418|0.00438|0.00214|0.00331|0.00347|0.00151|0.0012|0.00414|0.00103|0.00121|0.00051|0.00285|0.00209|0.0009|0.00466|0.00103|0.01182|0.00108|0.00076|0.00366|0.00282|0.95577|0.00623|0.02265|0.00387|0.39873|0.88329|0.00917|
[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.]|1|3|0.03126|0.00738|0.00503|0.01104|0.11365|0.40984|0.00351|0.00567|0.03867|0.0158|0.00605|0.00338|0.0042|0.02626|0.00605|0.0337|0.00396|0.13695|0.02825|0.00825|0.10017|0.00687|0.01692|0.01361|0.00556|0.02841|0.00433|0.19783|0.00245|0.09129|0.53604|0.00153|0.03927|0.01393|
Every time I imagine that someone I love or I could contact a serious illness, even death.|2|2|0.00575|0.00537|0.00882|0.01551|0.01855|0.01591|0.00529|0.01266|0.10013|0.03212|0.01331|0.00405|0.00506|0.00343|0.00473|0.00287|0.00247|0.00938|0.64916|0.00469|0.02287|0.00275|0.01854|0.00349|0.00476|0.0397|0.00303|0.15543|0.61204|0.01873|0.0009|0.07925|0.06056|0.00174|
When I had been obviously unjustly treated and had no possibility of elucidating this.|3|4|0.00347|0.00298|0.00784|0.0511|0.07886|0.01493|0.02206|0.00486|0.01038|0.28403|0.22035|0.01118|0.01488|0.00348|0.00725|0.00268|0.00336|0.00355|0.00202|0.00585|0.01459|0.00217|0.08856|0.00465|0.0157|0.07473|0.00846|0.18725|0.02096|0.41795|0.00146|0.33934|0.03258|0.00316|
When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.|4|3|0.00197|0.00205|0.00146|0.00705|0.01895|0.00235|0.02162|0.00681|0.00243|0.00532|0.01259|0.00079|0.00079|0.00175|0.00053|0.00039|0.00032|0.00123|0.00142|0.00063|0.00526|0.00056|0.02682|0.00091|0.00048|0.00241|0.00184|0.91617|0.07327|0.12637|0.00175|0.50733|0.05263|0.00254|
At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.|5|4|0.00172|0.0029|0.01192|0.07398|0.04037|0.01355|0.01635|0.00431|0.01674|0.23922|0.04095|0.03206|0.02606|0.0048|0.07298|0.0036|0.00462|0.00321|0.0025|0.02057|0.00942|0.0034|0.12632|0.00502|0.02232|0.09132|0.0115|0.28796|0.13734|0.0193|0.00064|0.21529|0.23936|0.00193|
When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.|6|2|0.00394|0.01199|0.01027|0.04331|0.04839|0.00976|0.0625|0.01824|0.07575|0.2211|0.02259|0.01246|0.03058|0.00967|0.02825|0.00418|0.0113|0.00555|0.00653|0.02152|0.03412|0.00615|0.37539|0.00774|0.11482|0.11286|0.03139|0.17867|0.99182|0.00512|0.00276|0.00626|0.00274|0.00283|
I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.|7|2|0.00679|0.02719|0.01979|0.03388|0.02568|0.02962|0.01279|0.014|0.02127|0.09918|0.01187|0.02975|0.07978|0.00864|0.05902|0.01443|0.01695|0.00893|0.01516|0.0276|0.01233|0.00508|0.04452|0.00938|0.39982|0.44736|0.01455|0.03117|0.98404|0.00934|0.00289|0.00201|0.00265|0.00176|
After my girlfriend had taken her exam we went to her parent's place.|1|3|0.00611|0.00242|0.00209|0.00507|0.01237|0.00368|0.00264|0.00294|0.00229|0.00355|0.00209|0.00126|0.0011|0.00403|0.00094|0.00148|0.00048|0.00305|0.00266|0.00082|0.00472|0.00094|0.01303|0.00098|0.0007|0.00397|0.00204|0.93445|0.01684|0.06294|0.00369|0.75507|0.45556|0.00735|
When, for the first time I realized the meaning of death.|2|4|0.00739|0.01158|0.0047|0.01182|0.07774|0.00439|0.10909|0.03479|0.03049|0.05011|0.01145|0.00626|0.01166|0.02594|0.03453|0.0049|0.00596|0.00495|0.00314|0.01329|0.04046|0.00456|0.34613|0.00517|0.03156|0.01999|0.23865|0.099|0.00944|0.4747|0.00164|0.03086|0.10736|0.00527|
When a car is overtaking another and I am forced to drive off the road.|3|4|0.0046|0.00464|0.00501|0.0205|0.01269|0.00707|0.00621|0.00397|0.02347|0.09115|0.00738|0.00599|0.00687|0.00971|0.01147|0.00186|0.00265|0.00969|0.00378|0.00744|0.01164|0.00366|0.08124|0.00366|0.00419|0.06957|0.01549|0.67195|0.08087|0.01099|0.00099|0.10726|0.78862|0.00645|
When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.|4|2|0.00197|0.00432|0.00188|0.01239|0.02784|0.00308|0.13803|0.02616|0.00922|0.015|0.01443|0.0019|0.00193|0.00363|0.00193|0.00081|0.00098|0.00198|0.00181|0.00212|0.01789|0.00123|0.09691|0.00192|0.00184|0.00435|0.00588|0.72893|0.00401|0.56368|0.00523|0.4409|0.0576|0.00839|
When I found a bristle in the liver paste tube.|5|2|0.00297|0.00373|0.00432|0.0124|0.01186|0.00348|0.00659|0.00415|0.00165|0.00458|0.00573|0.00373|0.00163|0.00244|0.00195|0.00111|0.00057|0.00157|0.00148|0.00119|0.00404|0.00101|0.0177|0.00113|0.00101|0.00468|0.0024|0.95834|0.01251|0.12194|0.00411|0.35789|0.74226|0.01974|
When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.|6|1|0.00681|0.0055|0.05672|0.23494|0.02042|0.01124|0.00636|0.00203|0.00486|0.34141|0.15635|0.04302|0.03521|0.00321|0.01179|0.00302|0.00409|0.0057|0.00409|0.00745|0.00558|0.00276|0.03395|0.00459|0.01398|0.15899|0.00475|0.06409|0.0047|0.83116|0.00235|0.29425|0.00533|0.00428|
When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.|7|2|0.00945|0.00437|0.00161|0.00859|0.06944|0.01996|0.02166|0.00766|0.06778|0.03666|0.00876|0.00177|0.00241|0.0155|0.0038|0.00312|0.00228|0.01084|0.00207|0.00354|0.23568|0.00316|0.1198|0.00483|0.00255|0.00996|0.0088|0.47945|0.00482|0.99133|0.00329|0.00926|0.00378|0.00449|
When I pass an examination which I did not think I did well.|1|3|0.0156|0.00338|0.00247|0.01952|0.14115|0.0088|0.0178|0.00217|0.01347|0.15456|0.08836|0.00354|0.0048|0.00802|0.00489|0.00195|0.00255|0.00572|0.00244|0.00418|0.03544|0.00335|0.12768|0.00512|0.00344|0.03958|0.00969|0.37933|0.00491|0.98804|0.00285|0.01076|0.00511|0.00369|
When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.|2|2|0.00092|0.00378|0.00251|0.01287|0.0171|0.00707|0.02064|0.00714|0.006|0.01064|0.00675|0.00197|0.0014|0.00246|0.00203|0.00076|0.0006|0.00162|0.00083|0.00163|0.01376|0.00085|0.04537|0.00139|0.00155|0.00602|0.00255|0.89856|0.02258|0.01507|0.00073|0.17209|0.55575|0.00458|
When one is unjustly accused of something one has not done.|3|3|0.00351|0.0027|0.03412|0.1257|0.02995|0.01429|0.00592|0.00301|0.00365|0.13222|0.33895|0.0145|0.01052|0.00167|0.0026|0.00168|0.00178|0.00243|0.00178|0.00227|0.00458|0.00138|0.02164|0.00273|0.00655|0.04217|0.00412|0.33264|0.06639|0.00828|0.00109|0.71412|0.14076|0.00275|
When one's studies seem hopelessly difficult and uninteresting.  |4|2|0.0071|0.00446|0.01016|0.07193|0.02403|0.01653|0.01289|0.00698|0.01173|0.45927|0.04264|0.04064|0.04257|0.00623|0.0691|0.00324|0.00708|0.00512|0.00609|0.02889|0.01036|0.00443|0.06332|0.00586|0.01769|0.27218|0.01158|0.1511|0.1742|0.00664|0.00074|0.11753|0.48831|0.00308|
When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.|5|2|0.0013|0.00192|0.00658|0.03559|0.01102|0.00184|0.01189|0.00297|0.00095|0.01148|0.03922|0.00395|0.00173|0.00113|0.00113|0.00031|0.00037|0.00065|0.00057|0.00068|0.0026|0.00055|0.02071|0.00069|0.00083|0.00293|0.00267|0.89289|0.05096|0.00892|0.00086|0.47031|0.35371|0.00591|
When one has been unjust, stupid towards someone else. |6|2|0.00511|0.00607|0.37965|0.45696|0.01017|0.00987|0.00547|0.00711|0.00342|0.0271|0.04845|0.05008|0.00975|0.00126|0.0028|0.00233|0.00175|0.00223|0.00229|0.00137|0.00659|0.00125|0.00784|0.00154|0.00448|0.00746|0.00217|0.10551|0.86512|0.00365|0.00102|0.218|0.01109|0.002|
When one has neglected or been unjust to a good friend.|7|1|0.00411|0.00217|0.01415|0.09242|0.03492|0.03036|0.00317|0.00298|0.00719|0.09993|0.04166|0.00729|0.00512|0.0014|0.00223|0.00115|0.00131|0.00234|0.00202|0.00259|0.00659|0.00146|0.02582|0.00252|0.00314|0.04102|0.00152|0.58881|0.83038|0.00205|0.00127|0.29895|0.00994|0.00151|
Passing an exam I did not expect to pass.|1|3|0.00241|0.00402|0.00787|0.03425|0.02087|0.00957|0.02836|0.00353|0.00932|0.1184|0.41428|0.00603|0.00618|0.00439|0.00777|0.0025|0.0019|0.0039|0.00232|0.00475|0.02106|0.00192|0.05519|0.00384|0.00271|0.02645|0.00913|0.38944|0.00875|0.32298|0.0026|0.30304|0.32069|0.00565|
When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.|2|2|0.00354|0.00247|0.00385|0.01273|0.0166|0.00369|0.01815|0.00242|0.0033|0.04491|0.26691|0.00298|0.00352|0.00293|0.00215|0.00122|0.00083|0.0023|0.00217|0.00172|0.00714|0.00107|0.03106|0.0021|0.00172|0.01249|0.00564|0.63367|0.00405|0.97487|0.00251|0.02111|0.01017|0.00321|
Friends who torture animals.|3|3|0.00534|0.00354|0.2746|0.18759|0.00592|0.01007|0.00271|0.00499|0.0024|0.00944|0.01028|0.02634|0.00371|0.0015|0.00257|0.00236|0.00108|0.00204|0.00251|0.00113|0.00608|0.00132|0.00576|0.00114|0.00176|0.00657|0.00203|0.50958|0.00489|0.00869|0.00494|0.80584|0.52736|0.0074|
[ Same as in anger.]|4|2|0.00542|0.00393|0.48168|0.27664|0.00743|0.01205|0.00275|0.00397|0.00617|0.02246|0.01309|0.05965|0.01044|0.00263|0.00801|0.00248|0.00225|0.00373|0.00726|0.00291|0.00759|0.00232|0.00822|0.00176|0.00607|0.02186|0.00303|0.16639|0.0104|0.1777|0.00338|0.60143|0.03152|0.00252|
Friends who torture animals.|5|4|0.00534|0.00354|0.2746|0.18759|0.00592|0.01007|0.00271|0.00499|0.0024|0.00944|0.01028|0.02634|0.00371|0.0015|0.00257|0.00236|0.00108|0.00204|0.00251|0.00113|0.00608|0.00132|0.00576|0.00114|0.00176|0.00657|0.00203|0.50958|0.00489|0.00869|0.00494|0.80584|0.52736|0.0074|
[ Same as above - friends who torture animals.]|6|2|0.00354|0.00339|0.12994|0.2042|0.00897|0.00579|0.00281|0.00395|0.002|0.01018|0.01414|0.02097|0.00326|0.00136|0.00217|0.00121|0.00083|0.00145|0.00147|0.00104|0.00347|0.00125|0.00778|0.00097|0.00108|0.00508|0.00199|0.74801|0.00891|0.01048|0.00153|0.82978|0.17895|0.00344|
[ When excuses are necessary and I get out of doing it myself.]|7|2|0.0017|0.00364|0.00786|0.03754|0.02569|0.01678|0.00475|0.00357|0.00674|0.01501|0.00536|0.00284|0.00211|0.00242|0.0014|0.00067|0.00074|0.00294|0.00082|0.00167|0.00865|0.00121|0.02836|0.00146|0.00197|0.00777|0.00167|0.87134|0.05591|0.1466|0.00086|0.31816|0.01511|0.00098|
When I had my children.|1|4|0.00495|0.00317|0.00255|0.00409|0.00977|0.00385|0.00467|0.00627|0.00315|0.00319|0.00306|0.00122|0.00117|0.00601|0.00091|0.00131|0.0006|0.00382|0.00504|0.00098|0.00526|0.00116|0.01199|0.00134|0.0009|0.00439|0.00354|0.93498|0.008|0.1685|0.01772|0.52332|0.09559|0.00283|
When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.|2|4|0.00984|0.00242|0.00219|0.00848|0.01207|0.00495|0.00184|0.00123|0.00326|0.01556|0.003|0.00231|0.00178|0.00346|0.00242|0.00096|0.00067|0.00303|0.00355|0.00152|0.00515|0.00128|0.0206|0.00116|0.00098|0.01912|0.00192|0.84493|0.43865|0.0071|0.00077|0.0118|0.50461|0.00342|
When my partner was attacked and lost three teeth.|3|4|0.00631|0.0035|0.00716|0.01345|0.02416|0.00928|0.00362|0.00218|0.00933|0.10038|0.00906|0.01018|0.0099|0.00751|0.03432|0.00372|0.0033|0.00505|0.00647|0.01166|0.00614|0.00325|0.05353|0.00393|0.00881|0.21669|0.01043|0.56956|0.02262|0.01985|0.00195|0.14841|0.87529|0.00841|
When I see children on T.V from areas devastated by drought and war.|4|2|0.00276|0.00291|0.00291|0.00823|0.01231|0.00507|0.0055|0.00363|0.00902|0.03757|0.00371|0.00244|0.003|0.00618|0.0037|0.00103|0.00128|0.00494|0.00392|0.0035|0.00712|0.00187|0.05469|0.00203|0.00259|0.04997|0.00726|0.7962|0.94174|0.00395|0.00132|0.00308|0.09893|0.00305|
When I nearly walked on a blindworm and then saw it crawl away.|5|3|0.00572|0.00657|0.01699|0.0383|0.01697|0.01237|0.00718|0.00573|0.00782|0.06782|0.00589|0.02017|0.01225|0.00884|0.0826|0.00414|0.00363|0.00577|0.0053|0.01716|0.00696|0.00385|0.04764|0.00368|0.0061|0.12141|0.01217|0.49019|0.01588|0.03271|0.00344|0.2361|0.92087|0.02012|
When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.|6|4|0.00509|0.01072|0.03543|0.04319|0.02357|0.03782|0.01269|0.01377|0.01255|0.09591|0.01919|0.02749|0.06343|0.00803|0.05292|0.01556|0.0126|0.00758|0.00869|0.02404|0.00792|0.00419|0.02847|0.00772|0.35273|0.45638|0.01061|0.05497|0.94612|0.00201|0.00152|0.03333|0.00727|0.00114|
I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.|7|3|0.00363|0.00704|0.03116|0.03798|0.01967|0.02957|0.01172|0.01231|0.01968|0.12148|0.02466|0.01796|0.04134|0.00686|0.04776|0.01028|0.01016|0.00575|0.00744|0.02015|0.00659|0.00377|0.03211|0.0064|0.20551|0.54588|0.01058|0.09887|0.76931|0.00396|0.00093|0.19521|0.02055|0.00115|
When my child was born.|1|4|0.00737|0.00282|0.0018|0.00359|0.0187|0.00346|0.00364|0.00415|0.0028|0.00368|0.00258|0.00111|0.00128|0.00726|0.00106|0.00134|0.00061|0.00371|0.0039|0.00107|0.00532|0.00125|0.01604|0.00128|0.00079|0.00476|0.00458|0.93421|0.00772|0.0734|0.00773|0.69827|0.34808|0.00799|
It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.|2|4|0.0031|0.0022|0.00276|0.01229|0.01323|0.00419|0.00273|0.00132|0.00236|0.01191|0.00513|0.00394|0.00212|0.00242|0.00305|0.00101|0.00056|0.00211|0.00186|0.00153|0.00469|0.00103|0.02357|0.00114|0.00097|0.00974|0.00178|0.91443|0.02792|0.01871|0.00114|0.3526|0.25133|0.00356|
Unjust accusations directed at me and my way of acting, by someone close to me.  |3|2|0.00345|0.00242|0.40002|0.33836|0.01381|0.01954|0.00276|0.00407|0.0055|0.02992|0.03447|0.04369|0.01047|0.00196|0.00431|0.00275|0.00194|0.00281|0.00313|0.00201|0.00688|0.00176|0.01168|0.00193|0.00818|0.01755|0.00328|0.25861|0.06565|0.00578|0.00227|0.95504|0.01964|0.00336|
Failing an examination.|4|2|0.00396|0.00311|0.01225|0.0437|0.01909|0.03005|0.00751|0.00307|0.01199|0.2806|0.11584|0.01199|0.00931|0.00363|0.01135|0.00257|0.00307|0.00373|0.00371|0.00864|0.01225|0.00306|0.04|0.0052|0.0061|0.16654|0.00549|0.50011|0.05398|0.01247|0.00135|0.4694|0.53096|0.005|
A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.|5|2|0.00452|0.00994|0.02635|0.05246|0.01931|0.01774|0.00678|0.00656|0.00474|0.05907|0.01697|0.09613|0.04709|0.00407|0.10365|0.00853|0.00579|0.00383|0.00645|0.01829|0.00532|0.00271|0.01664|0.00463|0.04456|0.29918|0.00457|0.10776|0.41646|0.00284|0.00115|0.71771|0.0215|0.00216|
When, as an adult I have been caught lying or behaving badly.|6|2|0.00625|0.01099|0.05837|0.08965|0.01329|0.03003|0.00978|0.0197|0.00898|0.13123|0.00987|0.02431|0.03251|0.00946|0.03192|0.00397|0.00735|0.01353|0.00491|0.02236|0.00544|0.00483|0.02571|0.00663|0.04189|0.39119|0.0152|0.15995|0.01101|0.00887|0.00332|0.4198|0.86377|0.0108|
When I am in an environment or with a person much worse off than me, I realize how privileged I am.|7|2|0.01007|0.00945|0.00707|0.0312|0.12686|0.00654|0.06562|0.01428|0.03911|0.18434|0.02547|0.01591|0.02599|0.01252|0.05784|0.00576|0.009|0.00512|0.00813|0.0193|0.03689|0.00554|0.36633|0.00695|0.04226|0.07553|0.06504|0.05762|0.00536|0.98344|0.00362|0.00575|0.00464|0.00355|
When I saw a person I had not seen for a long time.|1|3|0.00267|0.00357|0.00154|0.00633|0.01829|0.00233|0.0267|0.00557|0.00593|0.02131|0.00715|0.00215|0.00256|0.00706|0.00376|0.00116|0.00105|0.00314|0.0012|0.00264|0.01102|0.00151|0.09549|0.00186|0.00191|0.01081|0.01186|0.8081|0.01576|0.106|0.00299|0.49418|0.39881|0.01093|
When, as a child, I was nearly knocked down by a car.|2|3|0.00911|0.00565|0.00635|0.01468|0.00999|0.00511|0.00435|0.00286|0.01565|0.13175|0.00724|0.00797|0.0108|0.01228|0.01862|0.00301|0.00406|0.01039|0.00635|0.00996|0.00651|0.00402|0.06272|0.00414|0.00852|0.24079|0.02228|0.37651|0.03137|0.0091|0.00195|0.01163|0.91977|0.0226|
When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.|3|4|0.0045|0.0063|0.00769|0.03172|0.01332|0.00314|0.49204|0.15314|0.00645|0.03171|0.02163|0.00481|0.00626|0.01291|0.00749|0.00202|0.00256|0.00391|0.00141|0.00553|0.01106|0.00227|0.09129|0.00345|0.0087|0.01403|0.0845|0.10561|0.01113|0.84532|0.00116|0.0114|0.00947|0.00218|
When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.|4|3|0.00835|0.00788|0.09041|0.18602|0.01467|0.0563|0.00404|0.00333|0.01371|0.27392|0.07616|0.02641|0.02502|0.00488|0.01171|0.00714|0.00581|0.01907|0.01095|0.01149|0.01097|0.00385|0.01699|0.00863|0.01824|0.4325|0.00347|0.06587|0.99317|0.00343|0.00401|0.00465|0.00386|0.00302|
When one learns through the mass media all the wars and killing going on in the world.|5|2|0.00589|0.00425|0.0027|0.00874|0.02477|0.00256|0.0054|0.0029|0.00162|0.00328|0.00313|0.00141|0.00094|0.00302|0.00095|0.00052|0.00042|0.00145|0.0012|0.00067|0.00473|0.00077|0.01893|0.00073|0.00055|0.00245|0.00202|0.94513|0.00744|0.14647|0.00216|0.59582|0.36783|0.0122|
I lied, to be precise I cancelled a meeting with a good friend.|6|4|0.0008|0.00561|0.03096|0.06772|0.0322|0.00801|0.01277|0.00553|0.01059|0.07019|0.04533|0.00788|0.01334|0.00241|0.00523|0.00159|0.00244|0.00169|0.00212|0.00404|0.00412|0.00159|0.07235|0.00245|0.06554|0.0862|0.00483|0.38926|0.00925|0.13788|0.00376|0.88957|0.04056|0.00238|
When one lets friends down|7|3|0.00419|0.00341|0.00264|0.00682|0.01018|0.00384|0.00321|0.00233|0.00191|0.00411|0.00384|0.00157|0.0011|0.00289|0.00092|0.00106|0.00043|0.00285|0.00148|0.00077|0.00488|0.00081|0.0115|0.00097|0.00061|0.00406|0.00171|0.94668|0.01236|0.10797|0.00331|0.6128|0.37037|0.00732|
When I was accepted for a course on finance and accounting.|1|3|0.00662|0.00192|0.00074|0.00298|0.13148|0.00372|0.00866|0.00533|0.0057|0.00238|0.00338|0.00055|0.00061|0.0054|0.00092|0.00113|0.00045|0.00282|0.00242|0.00062|0.018|0.00077|0.0293|0.00098|0.00053|0.00113|0.00229|0.77462|0.00263|0.89048|0.00735|0.03391|0.04917|0.00532|
A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.|2|3|0.01093|0.01608|0.00935|0.01543|0.05287|0.03453|0.03643|0.0197|0.01018|0.02612|0.01342|0.03697|0.02096|0.02703|0.61781|0.0241|0.00714|0.01117|0.01215|0.05667|0.02919|0.00591|0.03592|0.00798|0.01561|0.04634|0.04469|0.09622|0.00643|0.00698|0.00431|0.00763|0.97744|0.02368|
At my Summer job, nobody looked after me in particular and I had to learn all on my own.|3|3|0.00218|0.00146|0.00142|0.00867|0.04853|0.00588|0.00632|0.00217|0.00566|0.02251|0.01509|0.0014|0.00164|0.00367|0.00128|0.00068|0.00066|0.00287|0.00268|0.00143|0.00633|0.00104|0.04901|0.00163|0.00116|0.0108|0.00341|0.88125|0.00942|0.12157|0.00284|0.61339|0.25065|0.00502|
When I was not accepted as a student in finance and accounting.|4|3|0.00342|0.00244|0.00392|0.01608|0.04127|0.00484|0.02731|0.00313|0.00612|0.07981|0.29356|0.00335|0.00436|0.00321|0.00294|0.00219|0.00137|0.00301|0.00278|0.00233|0.01028|0.00149|0.05814|0.0031|0.00273|0.02151|0.00517|0.48991|0.00292|0.86223|0.00819|0.03306|0.06017|0.00437|
